car_id,probeID,car_id,passenger_id,timestamp,longitude,latitude,shape,easting,northing
103,103,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295308,108.97237,34.27498,POINT (108.97237 34.27498),313343.9146173624,3794506.366773927
104,104,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295311,108.97237,34.2749,POINT (108.97237 34.2749),313343.7377125212,3794497.4940867824
105,105,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295314,108.97237,34.274809999999995,POINT (108.97237 34.27481),313343.5386950106,3794487.512313866
106,106,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295317,108.97236000000001,34.27466,POINT (108.97236 34.27466),313342.2862921815,3794470.8943830733
107,107,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295320,108.97236000000001,34.27454,POINT (108.97236 34.27454),313342.02093593276,3794457.585352975
108,108,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295323,108.97235,34.27438,POINT (108.97235 34.27438),313340.74641781294,3794439.858336999
109,109,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295326,108.97235,34.2742,POINT (108.97235 34.2742),313340.34838465194,3794419.8947926904
110,110,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295329,108.97235,34.273990000000005,POINT (108.97235 34.27399),313339.8840149628,3794396.603991645
111,111,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295332,108.97235,34.273990000000005,POINT (108.97235 34.27399),313339.8840149628,3794396.603991645
112,112,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295335,108.97235,34.273990000000005,POINT (108.97235 34.27399),313339.8840149628,3794396.603991645
113,113,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295338,108.97235,34.2739,POINT (108.97235 34.2739),313339.6850001506,3794386.6222199826
114,114,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295341,108.97233999999999,34.2738,POINT (108.97234 34.2738),313338.54315572174,3794375.5497198096
115,115,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295344,108.97233999999999,34.2738,POINT (108.97234 34.2738),313338.54315572174,3794375.5497198096
116,116,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295347,108.97233999999999,34.273579999999995,POINT (108.97234 34.27358),313338.05667586194,3794351.149834358
117,117,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295350,108.97233999999999,34.273309999999995,POINT (108.97234 34.27331),313337.45963616483,3794321.204521444
118,118,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295353,108.97233999999999,34.27313,POINT (108.97234 34.27313),313337.06161200645,3794301.240980145
119,119,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295356,108.97233999999999,34.27292,POINT (108.97234 34.27292),313336.5972528205,3794277.9501826107
120,120,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295359,108.97233,34.27275,POINT (108.97233 34.27275),313335.30061597656,3794259.1140848827
121,121,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295362,108.97233,34.27264,POINT (108.97233 34.27264),313335.0573810786,3794246.914143866
122,122,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295365,108.97233,34.27264,POINT (108.97233 34.27264),313335.0573810786,3794246.914143866
123,123,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295368,108.97233,34.27257,POINT (108.97233 34.27257),313334.90259559324,3794239.150545135
