,car_id,probeID,car_id.1,passenger_id,timestamp,longitude,latitude,shape,easting,northing,distance,linkPVID,projection_NE,projection_lat,projection_lon
102,102,102,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295305,108.97237,34.27498,POINT (108.97237 34.27498),313343.9146173624,3794506.3667739267,7.085249668977214e-08,263907.0,POINT ( 313343.9146174332 3794506.3667739253),34.274979967933746,108.97236900108004
103,103,103,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295308,108.97237,34.27498,POINT (108.97237 34.27498),313343.9146173624,3794506.3667739267,7.085249668977214e-08,263907.0,POINT ( 313343.9146174332 3794506.3667739253),34.274979967933746,108.97236900108004
104,104,104,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295311,108.97237,34.2749,POINT (108.97237 34.2749),313343.7377125212,3794497.4940867824,4.3321356163276834e-07,263907.0,POINT ( 313343.73771295435 3794497.4940867736),34.27489996793364,108.97236900108018
105,105,105,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295314,108.97237,34.274809999999995,POINT (108.97237 34.27481),313343.5386950106,3794487.512313866,4.0764691313688635e-07,263907.0,POINT ( 313343.53869541816 3794487.512313858),34.27480996793352,108.97236900107562
106,106,106,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295317,108.97236,34.27466,POINT (108.97236 34.27466),313342.28629218147,3794470.8943830724,0.7057459653484244,263907.0,POINT ( 313342.99123877136 3794470.8608022295),34.27465979195202,108.97236666185788
107,107,107,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295320,108.97236,34.27454,POINT (108.97236 34.27454),313342.0209359328,3794457.585352975,0.33753066000087106,263907.0,POINT ( 313342.35808428284 3794457.569292573),34.274539883767794,108.97236266490313
108,108,108,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295323,108.97235,34.27438,POINT (108.97235 34.27438),313340.7464178129,3794439.8583369986,0.7671173368640288,263907.0,POINT ( 313341.51266626094 3794439.82183598),34.27437977664757,108.97235732798279
109,109,109,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295326,108.97235,34.2742,POINT (108.97235 34.2742),313340.34838465194,3794419.8947926895,0.21479320799327153,263907.0,POINT ( 313340.56293457065 3794419.884572387),34.27419991437182,108.97235133256073
110,110,110,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295329,108.97235,34.273990000000005,POINT (108.97235 34.27399),313339.8840149628,3794396.603991645,5.9453062087149e-07,263907.0,POINT ( 313339.88401555724 3794396.6039916333),34.273989967931364,108.9723490010091
111,111,111,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295332,108.97235,34.273990000000005,POINT (108.97235 34.27399),313339.8840149628,3794396.603991645,5.9453062087149e-07,263907.0,POINT ( 313339.88401555724 3794396.6039916333),34.273989967931364,108.9723490010091
112,112,112,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295335,108.97235,34.273990000000005,POINT (108.97235 34.27399),313339.8840149628,3794396.603991645,5.9453062087149e-07,263907.0,POINT ( 313339.88401555724 3794396.6039916333),34.273989967931364,108.9723490010091
113,113,113,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295338,108.97235,34.2739,POINT (108.97235 34.2739),313339.6850001506,3794386.622219983,3.906536207018425e-07,263907.0,POINT ( 313339.68500054115 3794386.622219975),34.27389996793123,108.97234900100261
114,114,114,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295341,108.97234,34.2738,POINT (108.97234 34.2738),313338.54315572174,3794375.5497198096,0.8154252475633909,263907.0,POINT ( 313339.3578042861 3794375.5141382003),34.27379979362873,108.97234785315429
115,115,115,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295344,108.97234,34.2738,POINT (108.97234 34.2738),313338.54315572174,3794375.5497198096,0.8154252475633909,263907.0,POINT ( 313339.3578042861 3794375.5141382003),34.27379979362873,108.97234785315429
116,116,116,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295347,108.97234,34.273579999999995,POINT (108.97234 34.27358),313338.05667586194,3794351.149834358,0.23673691937869135,263907.0,POINT ( 313338.2931872921 3794351.139504189),34.273579917326224,108.97234157095413
